Point Y,Point X,InstallDate
32.220631,-110.9832397,7/14/2016
32.22061,-110.9835017,7/14/2016
32.220529,-110.9843337,7/14/2016
32.220509,-110.9846467,7/14/2016
32.22047,-110.9851547,7/14/2016
32.220389,-110.9859117,7/14/2016
32.220356,-110.9863037,7/14/2016
32.220316,-110.9866877,7/14/2016
32.22028362,-110.9870925,7/14/2016
32.22024809,-110.987457,7/14/2016
32.220215,-110.9878517,7/14/2016
32.230109,-110.9897447,7/14/2016
32.226878,-111.0049897,7/14/2016
32.227473,-111.0044567,7/14/2016
32.22792309,-111.0037889,7/14/2016
32.22819213,-111.0030063,7/14/2016
32.228414,-111.0021567,7/14/2016
32.228658,-111.0012387,7/14/2016
32.22909886,-111.0004622,7/14/2016
32.228776,-110.9996627,7/14/2016
32.226755,-111.0054437,7/14/2016
32.22733108,-111.0050039,7/14/2016
32.227881,-111.0043257,7/14/2016
32.228301,-111.0035437,7/14/2016
32.228548,-111.0026647,7/14/2016
32.228768,-111.0017967,7/14/2016
32.22899,-111.0008987,7/14/2016
32.225929,-111.0057897,7/14/2016
32.225446,-111.0064027,7/14/2016
32.225053,-111.0072227,7/14/2016
32.225427,-111.0069477,7/14/2016
32.225868,-111.0062357,7/14/2016
32.2295139,-110.9894378,7/14/2016
32.22948295,-110.9897002,7/14/2016
32.229518,-110.9897367,7/14/2016
32.229772,-110.9894437,7/14/2016
32.228666,-110.9990907,7/14/2016
32.22866154,-110.9987421,7/14/2016
32.22868,-110.9987167,7/14/2016
32.22895284,-110.9988179,7/14/2016
32.22897352,-110.9992261,7/14/2016
32.22902187,-110.999261,7/14/2016
32.22872707,-110.9991899,7/14/2016
32.25016952,-110.9936391,7/14/2016
32.2501922,-110.9936706,7/14/2016
32.25021886,-110.9933843,7/14/2016
32.25021668,-110.9923475,7/14/2016
32.25021668,-110.9920387,7/14/2016
32.25049229,-110.9922277,7/14/2016
32.25052238,-110.992274,7/14/2016
32.25050207,-110.9925293,7/14/2016
32.25051027,-110.993555,7/14/2016
32.2505509,-110.9936102,7/14/2016
32.25050425,-110.9938949,7/14/2016
32.22952816,-110.9817288,7/14/2016
32.22955928,-110.9817959,7/14/2016
32.22952273,-110.9820438,7/14/2016
32.20610173,-110.9902175,7/15/2016
32.20619345,-110.9896105,7/15/2016
32.20665129,-110.9916284,7/15/2016
32.20633888,-110.9916545,7/15/2016
32.206407,-110.9923537,7/15/2016
32.20474791,-110.9936454,7/15/2016
32.204893,-110.9941197,7/15/2016
32.20447339,-110.9940602,7/15/2016
32.20449579,-110.9945637,7/15/2016
32.20506539,-110.9926283,7/15/2016
32.20541438,-110.9912898,7/15/2016
32.20610275,-110.9901418,7/15/2016
32.20663373,-110.9879603,7/15/2016
32.206473,-110.9875967,7/15/2016
32.206652,-110.9868997,7/15/2016
32.206769,-110.9853437,7/15/2016
32.206702,-110.9845837,7/15/2016
32.206635,-110.9837707,7/15/2016
32.206629,-110.9829307,7/15/2016
32.20660364,-110.9912632,7/15/2016
32.20027588,-110.9959716,7/15/2016
32.22060934,-110.9812629,7/15/2016
32.22042267,-110.9837512,7/15/2016
32.22023646,-110.9857036,7/15/2016
32.22016759,-110.9860635,7/15/2016
32.22012746,-110.9865469,7/15/2016
32.22010482,-110.986838,7/15/2016
32.22010297,-110.9872442,7/15/2016
32.22006717,-110.9876322,7/15/2016
32.2201786,-110.9882525,7/15/2016
32.21976569,-110.993708,7/15/2016
32.22080808,-110.993729,7/15/2016
32.20688159,-110.9808661,7/15/2016
32.206897,-110.9817747,7/15/2016
32.206885,-110.9825357,7/15/2016
32.206888,-110.9833527,7/15/2016
32.206988,-110.9849617,7/15/2016
32.206955,-110.9866007,7/15/2016
32.206807,-110.9873527,7/15/2016
32.20633002,-110.9881251,7/15/2016
32.2066386,-110.991311,7/15/2016
32.22757872,-110.9766522,7/15/2016
32.22783659,-110.9770971,7/15/2016
32.22781328,-110.9767026,7/15/2016
32.22754519,-110.9772875,7/15/2016
32.22782768,-110.9779314,7/15/2016
32.22288191,-110.994785,7/15/2016
32.22898694,-110.9811312,7/15/2016
32.22891606,-110.9803653,7/15/2016
32.22849932,-110.980229,7/15/2016
32.22865109,-110.9798808,7/15/2016
32.22820733,-110.9797013,7/15/2016
32.22816025,-110.9791447,7/15/2016
32.22774185,-110.9787817,7/15/2016
32.22790168,-110.9782984,7/15/2016
32.250291,-110.9956047,7/15/2016
32.19968441,-110.9959039,7/15/2016
32.22813,-110.9989247,7/15/2016
32.227884,-110.9985937,7/15/2016
32.228391,-110.9986587,7/15/2016
32.202982,-110.9972507,7/15/2016
32.229752,-110.9897607,7/15/2016
32.229771,-110.9897267,7/15/2016
32.229782,-110.9894807,7/15/2016
32.220184,-110.9883937,7/15/2016
32.22015745,-110.9886204,7/15/2016
32.21993186,-110.9885629,7/15/2016
32.206053,-110.9927827,7/15/2016
32.20531692,-110.9936108,7/15/2016
32.19879762,-110.9968955,7/15/2016
32.19924357,-110.9965273,7/15/2016
32.20365535,-110.9953807,7/15/2016
32.2036634,-110.9949273,7/15/2016
32.21998235,-110.9883335,7/15/2016
32.19951201,-110.9962057,7/15/2016
32.22794015,-110.9782594,7/15/2016
32.22790168,-110.9780125,7/15/2016
32.22755973,-110.9779394,7/15/2016
32.22761871,-110.9783199,7/15/2016
32.22784008,-110.9784531,7/15/2016
32.22810293,-110.9787933,7/15/2016
32.22837468,-110.9793994,7/15/2016
32.22851542,-110.979652,7/15/2016
32.22879417,-110.9801443,7/15/2016
32.22897738,-110.9804759,7/15/2016
32.22913743,-110.9807169,7/15/2016
32.22918766,-110.9817396,7/15/2016
32.22927757,-110.9809592,7/15/2016
32.22909673,-110.9814109,7/15/2016
32.22940717,-110.9812655,7/15/2016
